id,AduName,NAduType,NAduName,onAskStart,onAskEnd,url
80,池南自然教育中心,10,環境教育4小時課程-看守森林,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=CN-C1301
81,池南自然教育中心,10,環境教育4小時課程-凝望家鄉，海之森,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=CN-C1302
82,池南自然教育中心,10,綠色大地工作坊,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=CN-C1303
83,池南自然教育中心,10,環境教育4小時課程-森林解密行動,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=CN-C1304
84,池南自然教育中心,10,環境教育4小時課程-森林水世界,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=CN-C1305
85,東眼山自然教育中心,7,森林徵信社,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21301
86,東眼山自然教育中心,7,蟲林探險記,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21302
87,東眼山自然教育中心,7,國產材森活,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21303
88,東眼山自然教育中心,7,森林趴趴走,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21304
89,東眼山自然教育中心,7,1212上東眼：友善登山計畫,2023-12-01,活動20天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21305
90,東眼山自然教育中心,7,森林碳測術,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21306
91,東眼山自然教育中心,7,東眼奇兵：抗暖化大挑戰,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21307
92,東眼山自然教育中心,7,FBI-930檔案：森林科學調查,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-A21308
93,東眼山自然教育中心,10,環教4小時｜定向東遊記,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1301
94,東眼山自然教育中心,10,東眼山自然教育中心經營管理經驗分享,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1303
95,東眼山自然教育中心,10,環教4小時｜臘個植人：手作植物標本,2023-12-01,活動2天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1304
96,東眼山自然教育中心,10,環教4小時｜生物多樣性基礎篇：動植物與他們的產地,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1305
97,東眼山自然教育中心,10,在樹上看見的世界,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1307
98,東眼山自然教育中心,10,來去樹上睡一晚,2023-12-01,活動20天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1308
99,東眼山自然教育中心,10,苔球手作,2023-12-01,活動4天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1310
100,東眼山自然教育中心,10,森林木工坊,2024-01-11,活動0天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1312
101,東眼山自然教育中心,11,火焰蟲傳說,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1303
102,東眼山自然教育中心,11,鳥類觀察家,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1304
103,東眼山自然教育中心,11,【東眼山X卡普部落】竹取公主夜賞東眼山,2023-12-01,活動8天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1306
104,東眼山自然教育中心,11,定向東遊記-小旅讀,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1311
105,知本自然教育中心,6,樹木教育,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A11306
